SDEF_codification;DGMARE_Med_BS_codification
MOL;MOL
DES;DEMSP
DWS;DWS
MDD;MDD
SPF;SPF
FIF;FIF
CEP;CEP
LPF;LPF
DEF;DEF
CAT;CAT
SLP;SLP
NONE;-1
MPD;MDP
