SPECIES;SPE;GSA;START_YEAR;END_YEAR;COMMENTS;methodDesc;nboot;adjust
Merluccius merluccius;HKE;GSA99;9999;9999;;analytical;.;F
Mullus barbatus;MUT;GSA99;9999;9999;;bootstrap;10;F
