JRC_FDI_codification;JRC_Med_BS_codification
MOL;MOL
DEF;DEMSP
DWS;DWS
MDD;MDD
SPF;SPF
FIF;FIF
CEP;CEP
LPF;LPF
DEF;DEF
CAT;CAT
SLP;SLP
NK;-1
MPD;MDP
