AREA;Fleet_segment;METIER;LOA;GEAR_ACatch;MESH_SIZE_RANGE_ACatch;FISHERY_ACatch
99;Longliners 12-24;LLS_DEF_0_0_0;VL1218;LLS;-1;DEMF
99;Trawlers 6- >24;OTB_DEF_>=40_0_0;VL1218;OTB;50D100;DEMSP
