ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;LANDINGS;UNIT;LENGTHCLASS0;LENGTHCLASS1;LENGTHCLASS2;LENGTHCLASS3;LENGTHCLASS4;LENGTHCLASS5;LENGTHCLASS6;LENGTHCLASS7;LENGTHCLASS8;LENGTHCLASS9;LENGTHCLASS10;LENGTHCLASS11;LENGTHCLASS12;LENGTHCLASS13;LENGTHCLASS14;LENGTHCLASS15;LENGTHCLASS16;LENGTHCLASS17;LENGTHCLASS18;LENGTHCLASS19;LENGTHCLASS20;LENGTHCLASS21;LENGTHCLASS22;LENGTHCLASS23;LENGTHCLASS24;LENGTHCLASS25;LENGTHCLASS26;LENGTHCLASS27;LENGTHCLASS28;LENGTHCLASS29;LENGTHCLASS30;LENGTHCLASS31;LENGTHCLASS32;LENGTHCLASS33;LENGTHCLASS34;LENGTHCLASS35;LENGTHCLASS36;LENGTHCLASS37;LENGTHCLASS38;LENGTHCLASS39;LENGTHCLASS40;LENGTHCLASS41;LENGTHCLASS42;LENGTHCLASS43;LENGTHCLASS44;LENGTHCLASS45;LENGTHCLASS46;LENGTHCLASS47;LENGTHCLASS48;LENGTHCLASS49;LENGTHCLASS50;LENGTHCLASS51;LENGTHCLASS52;LENGTHCLASS53;LENGTHCLASS54;LENGTHCLASS55;LENGTHCLASS56;LENGTHCLASS57;LENGTHCLASS58;LENGTHCLASS59;LENGTHCLASS60;LENGTHCLASS61;LENGTHCLASS62;LENGTHCLASS63;LENGTHCLASS64;LENGTHCLASS65;LENGTHCLASS66;LENGTHCLASS67;LENGTHCLASS68;LENGTHCLASS69;LENGTHCLASS70;LENGTHCLASS71;LENGTHCLASS72;LENGTHCLASS73;LENGTHCLASS74;LENGTHCLASS75;LENGTHCLASS76;LENGTHCLASS77;LENGTHCLASS78;LENGTHCLASS79;LENGTHCLASS80;LENGTHCLASS81;LENGTHCLASS82;LENGTHCLASS83;LENGTHCLASS84;LENGTHCLASS85;LENGTHCLASS86;LENGTHCLASS87;LENGTHCLASS88;LENGTHCLASS89;LENGTHCLASS90;LENGTHCLASS91;LENGTHCLASS92;LENGTHCLASS93;LENGTHCLASS94;LENGTHCLASS95;LENGTHCLASS96;LENGTHCLASS97;LENGTHCLASS98;LENGTHCLASS99;LENGTHCLASS100_PLUS
COUNTRY199991-1OTM20D40MDPSPSA 99;COUNTRY1;9999;1;-1;OTM;20D40;MDPSP;SA 99;-1;HKE;0.37359;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1OTM20D40MDPSPSA 99;COUNTRY1;9999;2;-1;OTM;20D40;MDPSP;SA 99;-1;HKE;0.3713;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1PS14D16SPFSA 99;COUNTRY1;9999;1;-1;PS;14D16;SPF;SA 99;-1;HKE;1.99466;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1GNS16D20DEMFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;DEMF;SA 99;-1;MUT;0.41289;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1GTR16D20DEMSPSA 99;COUNTRY1;9999;-1;-1;GTR;16D20;DEMSP;SA 99;-1;MUT;14.10412;cm;0;0;0;0;0;0;0;0;0;4.235;14.117;43.762;45.174;55.056;36.704;45.174;35.292;18.352;11.293;9.882;5.647;5.647;8.47;0;0;2.823;1.412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1OTB50D100DEMSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;DEMSP;SA 99;-1;MUT;45.92988;cm;0;0;0;0;0;0;0;0;0;11.331;75.543;94.428;64.211;83.097;124.645;101.982;83.097;64.211;56.657;83.097;41.548;37.771;11.331;0;0;7.554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1OTB50D100DEMSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;DEMSP;SA 99;-1;MUT;34.41415;cm;0;0;0;0;0;0;0;0;0;2.156;50.873;297.049;367.323;241.002;104.765;90.537;57.772;35.353;20.263;9.054;1.293;0.862;0.862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1OTB50D100DWSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;DWSP;SA 99;-1;MUT;0.53381;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1OTB50D100DWSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;DWSP;SA 99;-1;MUT;0.5951;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;MDDWSP;SA 99;-1;MUT;13.78506;cm;0;0;0;0;0;0;0;0;0;4.496;11.241;28.102;37.656;45.525;43.839;47.773;62.948;28.102;12.927;11.241;5.62;3.372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;MDDWSP;SA 99;-1;MUT;23.66626;cm;0;0;0;0;0;0;0;0;0;0;6.092;59.705;109.662;86.511;59.705;93.822;62.142;32.899;13.403;19.495;9.748;12.185;4.874;4.874;4.874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1OTM20D40MDPSPSA 99;COUNTRY1;9999;1;-1;OTM;20D40;MDPSP;SA 99;-1;MUT;0.09888;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
